scheme_name,ministry,category,eligibility_age_min,eligibility_age_max,eligibility_income_max,eligibility_caste,eligibility_state,benefits,how_to_apply,portal_link
PM-KISAN Samman Nidhi,Agriculture,Agriculture,18,99,0,All,All,Rs 6000/year direct cash,Apply at local Patwari or pmkisan.gov.in,https://pmkisan.gov.in
PM Awas Yojana Gramin,Rural Development,Housing,18,99,300000,All,All,Free house construction,Apply via village Panchayat,https://pmayg.nic.in
Ujjwala Yojana 2.0,Petroleum,Energy,18,99,200000,BPL,All,Free LPG connection,Apply at nearest LPG distributor,https://pmuy.gov.in
Ayushman Bharat PM-JAY,Health,Health,0,99,200000,All,All,Rs 5 lakh health insurance/year,Apply at empanelled hospital,https://pmjay.gov.in
PM Scholarship Scheme,Defence,Education,18,25,600000,All,All,Rs 25000/year scholarship,Apply at scholarships.gov.in,https://scholarships.gov.in
PM Mudra Yojana,Finance,Business,18,65,0,All,All,Loans up to Rs 10 lakh,Apply at any bank or NBFC,https://mudra.org.in
National Scholarship Portal,Education,Education,0,25,250000,SC/ST/OBC,All,Multiple scholarships available,Apply at scholarships.gov.in,https://scholarships.gov.in
Sukanya Samriddhi Yojana,Finance,Finance,0,10,0,All,All,Savings account + tax benefits,Open at Post Office or bank,https://nsiindia.gov.in
PM Jan Dhan Yojana,Finance,Banking,10,99,0,All,All,Free bank account + insurance,Apply at any bank branch,https://pmjdy.gov.in
Atal Pension Yojana,Finance,Pension,18,40,0,All,All,Rs 1000-5000/month pension,Apply at bank or post office,https://npscra.nsdl.co.in
Kisan Credit Card,Agriculture,Agriculture,18,75,0,All,All,Credit for farming needs,Apply at bank with land docs,https://pmkisan.gov.in
PM Fasal Bima Yojana,Agriculture,Insurance,18,99,0,All,All,Crop insurance against disasters,Apply via bank or insurance co,https://pmfby.gov.in
MGNREGA,Rural Development,Employment,18,99,0,All,All,100 days guaranteed work/year,Apply at Gram Panchayat,https://nrega.nic.in
Startup India,Commerce,Business,18,99,0,All,All,Tax benefits + funding support,Register at startupindia.gov.in,https://startupindia.gov.in
Stand Up India,Finance,Business,18,99,0,SC/ST/Women,All,Loans Rs 10 lakh to 1 crore,Apply at bank branch,https://standupmitra.in
PM Garib Kalyan Anna Yojana,Food,Food,0,99,150000,BPL,All,5 kg free grain per person/month,Register at ration shop,https://dfpd.gov.in
Skill India Mission,Skill Development,Education,15,45,0,All,All,Free skill training + certificate,Register at skillindia.gov.in,https://skillindia.gov.in
PM SVANidhi,Housing,Business,18,99,0,All,All,Rs 10000-50000 loan for vendors,Apply at ULB office or CSC,https://pmsvanidhi.mohua.gov.in
